ticker,year,overall_score,volatility
AAPL,2019,7.4,0.2624
AAPL,2020,7.55,0.4678
AAPL,2021,8.53,0.2506
AAPL,2022,8.88,0.3567
AAPL,2023,8.43,0.1995
AAPL,2024,7.9,0.2245
AAPL,2025,8.65,0.3253
AMZN,2019,6.25,0.2288
AMZN,2020,7.15,0.3857
AMZN,2021,6.78,0.2406
AMZN,2022,5.58,0.5012
AMZN,2023,6.4,0.3303
AMZN,2024,7.6,0.2815
AMZN,2025,7.6,0.3455
MSFT,2019,8.25,0.199
MSFT,2020,8.65,0.4403
MSFT,2021,9.4,0.2098
MSFT,2022,9.4,0.3538
MSFT,2023,9.62,0.2512
MSFT,2024,9.18,0.1997
MSFT,2025,9.4,0.2433
NVDA,2019,8.88,0.4071
NVDA,2020,8.95,0.5802
NVDA,2021,8.32,0.4516
NVDA,2022,8.55,0.6329
NVDA,2023,5.5,0.4846
NVDA,2024,6.25,0.5254
NVDA,2025,6.25,0.4973
NVDA,2026,6.25,0.3555
TSLA,2019,5.88,0.4901
TSLA,2020,6.25,0.8964
TSLA,2021,7.45,0.5486
TSLA,2022,8.35,0.6533
TSLA,2023,7.97,0.5265
TSLA,2024,6.85,0.6365
TSLA,2025,6.32,0.6342
